,Date,ItemsSold
0,2015-01-01 00:00:00,48
1,2015-01-02 00:00:00,35
2,2015-01-03 00:00:00,74
3,2015-01-04 00:00:00,53
4,2015-01-05 00:00:00,68
5,2015-01-06 00:00:00,52
6,2015-01-07 00:00:00,57
7,2015-01-08 00:00:00,45
8,2015-01-09 00:00:00,72
9,2015-01-10 00:00:00,41
10,2015-01-11 00:00:00,58
11,2015-01-12 00:00:00,41
12,2015-01-13 00:00:00,54
13,2015-01-14 00:00:00,70
14,2015-01-15 00:00:00,55
15,2015-01-16 00:00:00,57
16,2015-01-17 00:00:00,49
17,2015-01-18 00:00:00,65
18,2015-01-19 00:00:00,53
19,2015-01-20 00:00:00,40
20,2015-01-21 00:00:00,96
21,2015-01-22 00:00:00,74
22,2015-01-23 00:00:00,53
23,2015-01-24 00:00:00,64
24,2015-01-25 00:00:00,64
25,2015-01-26 00:00:00,75
26,2015-01-27 00:00:00,70
27,2015-01-28 00:00:00,69
28,2015-01-29 00:00:00,42
29,2015-01-30 00:00:00,34
30,2015-01-31 00:00:00,69
31,2015-02-01 00:00:00,61
32,2015-02-02 00:00:00,32
33,2015-02-03 00:00:00,66
34,2015-02-04 00:00:00,42
35,2015-02-05 00:00:00,65
36,2015-02-06 00:00:00,53
37,2015-02-07 00:00:00,50
38,2015-02-08 00:00:00,47
39,2015-02-09 00:00:00,67
40,2015-02-10 00:00:00,67
41,2015-02-11 00:00:00,58
42,2015-02-12 00:00:00,73
43,2015-02-13 00:00:00,41
44,2015-02-14 00:00:00,66
45,2015-02-15 00:00:00,61
46,2015-02-16 00:00:00,41
47,2015-02-17 00:00:00,54
48,2015-02-18 00:00:00,68
49,2015-02-19 00:00:00,34
50,2015-02-20 00:00:00,49
51,2015-02-21 00:00:00,54
52,2015-02-22 00:00:00,36
53,2015-02-23 00:00:00,79
54,2015-02-24 00:00:00,61
55,2015-02-25 00:00:00,50
56,2015-02-26 00:00:00,82
57,2015-02-27 00:00:00,45
58,2015-02-28 00:00:00,58
59,2015-03-01 00:00:00,76
60,2015-03-02 00:00:00,75
61,2015-03-03 00:00:00,48
62,2015-03-04 00:00:00,53
63,2015-03-05 00:00:00,64
64,2015-03-06 00:00:00,63
65,2015-03-07 00:00:00,53
66,2015-03-08 00:00:00,59
67,2015-03-09 00:00:00,49
68,2015-03-10 00:00:00,43
69,2015-03-11 00:00:00,55
70,2015-03-12 00:00:00,49
71,2015-03-13 00:00:00,71
72,2015-03-14 00:00:00,59
73,2015-03-15 00:00:00,52
74,2015-03-16 00:00:00,23
75,2015-03-17 00:00:00,23
76,2015-03-18 00:00:00,67
77,2015-03-19 00:00:00,45
78,2015-03-20 00:00:00,81
79,2015-03-21 00:00:00,49
80,2015-03-22 00:00:00,63
81,2015-03-23 00:00:00,56
82,2015-03-24 00:00:00,57
83,2015-03-25 00:00:00,48
84,2015-03-26 00:00:00,88
85,2015-03-27 00:00:00,47
86,2015-03-28 00:00:00,45
87,2015-03-29 00:00:00,56
88,2015-03-30 00:00:00,51
89,2015-03-31 00:00:00,54
90,2015-04-01 00:00:00,83
91,2015-04-02 00:00:00,48
92,2015-04-03 00:00:00,69
93,2015-04-04 00:00:00,52
94,2015-04-05 00:00:00,36
95,2015-04-06 00:00:00,47
96,2015-04-07 00:00:00,51
97,2015-04-08 00:00:00,64
98,2015-04-09 00:00:00,56
99,2015-04-10 00:00:00,62
100,2015-04-11 00:00:00,76
101,2015-04-12 00:00:00,42
102,2015-04-13 00:00:00,57
103,2015-04-14 00:00:00,53
104,2015-04-15 00:00:00,61
105,2015-04-16 00:00:00,47
106,2015-04-17 00:00:00,43
107,2015-04-18 00:00:00,59
108,2015-04-19 00:00:00,62
109,2015-04-20 00:00:00,49
110,2015-04-21 00:00:00,67
111,2015-04-22 00:00:00,61
112,2015-04-23 00:00:00,33
113,2015-04-24 00:00:00,59
114,2015-04-25 00:00:00,44
115,2015-04-26 00:00:00,59
116,2015-04-27 00:00:00,39
117,2015-04-28 00:00:00,66
118,2015-04-29 00:00:00,63
119,2015-04-30 00:00:00,91
120,2015-05-01 00:00:00,68
121,2015-05-02 00:00:00,75
122,2015-05-03 00:00:00,57
123,2015-05-04 00:00:00,45
124,2015-05-05 00:00:00,63
125,2015-05-06 00:00:00,42
126,2015-05-07 00:00:00,53
127,2015-05-08 00:00:00,69
128,2015-05-09 00:00:00,45
129,2015-05-10 00:00:00,72
130,2015-05-11 00:00:00,67
131,2015-05-12 00:00:00,46
132,2015-05-13 00:00:00,39
133,2015-05-14 00:00:00,60
134,2015-05-15 00:00:00,78
135,2015-05-16 00:00:00,85
136,2015-05-17 00:00:00,64
137,2015-05-18 00:00:00,70
138,2015-05-19 00:00:00,64
139,2015-05-20 00:00:00,38
140,2015-05-21 00:00:00,64
141,2015-05-22 00:00:00,63
142,2015-05-23 00:00:00,39
143,2015-05-24 00:00:00,62
144,2015-05-25 00:00:00,39
145,2015-05-26 00:00:00,47
146,2015-05-27 00:00:00,72
147,2015-05-28 00:00:00,61
148,2015-05-29 00:00:00,60
149,2015-05-30 00:00:00,39
150,2015-05-31 00:00:00,47
151,2015-06-01 00:00:00,33
152,2015-06-02 00:00:00,45
153,2015-06-03 00:00:00,34
154,2015-06-04 00:00:00,33
155,2015-06-05 00:00:00,56
156,2015-06-06 00:00:00,75
157,2015-06-07 00:00:00,36
158,2015-06-08 00:00:00,66
159,2015-06-09 00:00:00,35
160,2015-06-10 00:00:00,53
161,2015-06-11 00:00:00,39
162,2015-06-12 00:00:00,78
163,2015-06-13 00:00:00,69
164,2015-06-14 00:00:00,68
165,2015-06-15 00:00:00,72
166,2015-06-16 00:00:00,54
167,2015-06-17 00:00:00,48
168,2015-06-18 00:00:00,54
169,2015-06-19 00:00:00,85
170,2015-06-20 00:00:00,56
171,2015-06-21 00:00:00,71
172,2015-06-22 00:00:00,54
173,2015-06-23 00:00:00,67
174,2015-06-24 00:00:00,53
175,2015-06-25 00:00:00,68
176,2015-06-26 00:00:00,43
177,2015-06-27 00:00:00,63
178,2015-06-28 00:00:00,73
179,2015-06-29 00:00:00,64
180,2015-06-30 00:00:00,49
181,2015-07-01 00:00:00,57
182,2015-07-02 00:00:00,48
183,2015-07-03 00:00:00,63
184,2015-07-04 00:00:00,61
185,2015-07-05 00:00:00,46
186,2015-07-06 00:00:00,61
187,2015-07-07 00:00:00,56
188,2015-07-08 00:00:00,75
189,2015-07-09 00:00:00,34
190,2015-07-10 00:00:00,80
191,2015-07-11 00:00:00,30
192,2015-07-12 00:00:00,69
193,2015-07-13 00:00:00,42
194,2015-07-14 00:00:00,54
195,2015-07-15 00:00:00,40
196,2015-07-16 00:00:00,43
197,2015-07-17 00:00:00,58
198,2015-07-18 00:00:00,37
199,2015-07-19 00:00:00,62
200,2015-07-20 00:00:00,44
201,2015-07-21 00:00:00,93
202,2015-07-22 00:00:00,60
203,2015-07-23 00:00:00,59
204,2015-07-24 00:00:00,44
205,2015-07-25 00:00:00,58
206,2015-07-26 00:00:00,43
207,2015-07-27 00:00:00,56
208,2015-07-28 00:00:00,76
209,2015-07-29 00:00:00,53
210,2015-07-30 00:00:00,59
211,2015-07-31 00:00:00,63
212,2015-08-01 00:00:00,71
213,2015-08-02 00:00:00,60
214,2015-08-03 00:00:00,73
215,2015-08-04 00:00:00,73
216,2015-08-05 00:00:00,53
217,2015-08-06 00:00:00,69
218,2015-08-07 00:00:00,64
219,2015-08-08 00:00:00,92
220,2015-08-09 00:00:00,38
221,2015-08-10 00:00:00,43
222,2015-08-11 00:00:00,46
223,2015-08-12 00:00:00,45
224,2015-08-13 00:00:00,74
225,2015-08-14 00:00:00,54
226,2015-08-15 00:00:00,82
227,2015-08-16 00:00:00,46
228,2015-08-17 00:00:00,57
229,2015-08-18 00:00:00,82
230,2015-08-19 00:00:00,60
231,2015-08-20 00:00:00,83
232,2015-08-21 00:00:00,83
233,2015-08-22 00:00:00,53
234,2015-08-23 00:00:00,61
235,2015-08-24 00:00:00,68
236,2015-08-25 00:00:00,52
237,2015-08-26 00:00:00,54
238,2015-08-27 00:00:00,61
239,2015-08-28 00:00:00,79
240,2015-08-29 00:00:00,43
241,2015-08-30 00:00:00,55
242,2015-08-31 00:00:00,47
243,2015-09-01 00:00:00,22
244,2015-09-02 00:00:00,52
245,2015-09-03 00:00:00,77
246,2015-09-04 00:00:00,58
247,2015-09-05 00:00:00,39
248,2015-09-06 00:00:00,44
249,2015-09-07 00:00:00,43
250,2015-09-08 00:00:00,69
251,2015-09-09 00:00:00,55
252,2015-09-10 00:00:00,56
253,2015-09-11 00:00:00,62
254,2015-09-12 00:00:00,32
255,2015-09-13 00:00:00,64
256,2015-09-14 00:00:00,45
257,2015-09-15 00:00:00,39
258,2015-09-16 00:00:00,47
259,2015-09-17 00:00:00,48
260,2015-09-18 00:00:00,54
261,2015-09-19 00:00:00,57
262,2015-09-20 00:00:00,49
263,2015-09-21 00:00:00,35
264,2015-09-22 00:00:00,58
265,2015-09-23 00:00:00,67
266,2015-09-24 00:00:00,52
267,2015-09-25 00:00:00,46
268,2015-09-26 00:00:00,59
269,2015-09-27 00:00:00,37
270,2015-09-28 00:00:00,53
271,2015-09-29 00:00:00,81
272,2015-09-30 00:00:00,87
273,2015-10-01 00:00:00,53
274,2015-10-02 00:00:00,30
275,2015-10-03 00:00:00,75
276,2015-10-04 00:00:00,71
277,2015-10-05 00:00:00,50
278,2015-10-06 00:00:00,54
279,2015-10-07 00:00:00,58
280,2015-10-08 00:00:00,45
281,2015-10-09 00:00:00,54
282,2015-10-10 00:00:00,67
283,2015-10-11 00:00:00,82
284,2015-10-12 00:00:00,62
285,2015-10-13 00:00:00,39
286,2015-10-14 00:00:00,72
287,2015-10-15 00:00:00,56
288,2015-10-16 00:00:00,47
289,2015-10-17 00:00:00,56
290,2015-10-18 00:00:00,48
291,2015-10-19 00:00:00,60
292,2015-10-20 00:00:00,37
293,2015-10-21 00:00:00,55
294,2015-10-22 00:00:00,37
295,2015-10-23 00:00:00,57
296,2015-10-24 00:00:00,34
297,2015-10-25 00:00:00,66
298,2015-10-26 00:00:00,63
299,2015-10-27 00:00:00,71
300,2015-10-28 00:00:00,51
301,2015-10-29 00:00:00,44
302,2015-10-30 00:00:00,30
303,2015-10-31 00:00:00,46
304,2015-11-01 00:00:00,50
305,2015-11-02 00:00:00,48
306,2015-11-03 00:00:00,56
307,2015-11-04 00:00:00,72
308,2015-11-05 00:00:00,29
309,2015-11-06 00:00:00,67
310,2015-11-07 00:00:00,50
311,2015-11-08 00:00:00,65
312,2015-11-09 00:00:00,83
313,2015-11-10 00:00:00,68
314,2015-11-11 00:00:00,60
315,2015-11-12 00:00:00,59
316,2015-11-13 00:00:00,60
317,2015-11-14 00:00:00,51
318,2015-11-15 00:00:00,61
319,2015-11-16 00:00:00,47
320,2015-11-17 00:00:00,41
321,2015-11-18 00:00:00,65
322,2015-11-19 00:00:00,64
323,2015-11-20 00:00:00,40
324,2015-11-21 00:00:00,55
325,2015-11-22 00:00:00,58
326,2015-11-23 00:00:00,60
327,2015-11-24 00:00:00,75
328,2015-11-25 00:00:00,53
329,2015-11-26 00:00:00,53
330,2015-11-27 00:00:00,82
331,2015-11-28 00:00:00,60
332,2015-11-29 00:00:00,92
333,2015-11-30 00:00:00,61
334,2015-12-01 00:00:00,54
335,2015-12-02 00:00:00,58
336,2015-12-03 00:00:00,65
337,2015-12-04 00:00:00,40
338,2015-12-05 00:00:00,50
339,2015-12-06 00:00:00,53
340,2015-12-07 00:00:00,30
341,2015-12-08 00:00:00,73
342,2015-12-09 00:00:00,47
343,2015-12-10 00:00:00,42
344,2015-12-11 00:00:00,66
345,2015-12-12 00:00:00,43
346,2015-12-13 00:00:00,46
347,2015-12-14 00:00:00,59
348,2015-12-15 00:00:00,56
349,2015-12-16 00:00:00,51
350,2015-12-17 00:00:00,53
351,2015-12-18 00:00:00,47
352,2015-12-19 00:00:00,40
353,2015-12-20 00:00:00,54
354,2015-12-21 00:00:00,29
355,2015-12-22 00:00:00,36
356,2015-12-23 00:00:00,77
357,2015-12-24 00:00:00,48
358,2015-12-25 00:00:00,40
359,2015-12-26 00:00:00,37
360,2015-12-27 00:00:00,74
361,2015-12-28 00:00:00,58
362,2015-12-29 00:00:00,57
363,2015-12-30 00:00:00,53
364,2015-12-31 00:00:00,0
